mode,rank,world,dev,numa_node,mib,bytes_aligned,BW_GBps
2,0,4,0,0,0.250000,262144,35.065
2,2,4,2,0,0.250000,262144,35.012
2,1,4,1,0,0.250000,262144,30.429
2,3,4,3,0,0.250000,262144,29.547
2,2,4,2,0,0.500000,524288,42.505
2,0,4,0,0,0.500000,524288,42.511
2,1,4,1,0,0.500000,524288,35.946
2,3,4,3,0,0.500000,524288,33.471
2,2,4,2,0,1.000000,1048576,47.145
2,0,4,0,0,1.000000,1048576,47.842
2,1,4,1,0,1.000000,1048576,43.226
2,3,4,3,0,1.000000,1048576,40.278
2,2,4,2,0,2.000000,2097152,51.480
2,0,4,0,0,2.000000,2097152,51.590
2,1,4,1,0,2.000000,2097152,48.551
2,3,4,3,0,2.000000,2097152,46.347
2,2,4,2,0,4.000000,4194304,53.579
2,0,4,0,0,4.000000,4194304,53.561
2,1,4,1,0,4.000000,4194304,52.012
2,3,4,3,0,4.000000,4194304,50.352
2,2,4,2,0,8.000000,8388608,54.412
2,0,4,0,0,8.000000,8388608,54.414
2,3,4,3,0,8.000000,8388608,52.249
2,1,4,1,0,8.000000,8388608,53.325
2,0,4,0,0,16.000000,16777216,54.945
2,2,4,2,0,16.000000,16777216,54.598
2,3,4,3,0,16.000000,16777216,52.104
2,1,4,1,0,16.000000,16777216,53.775
2,0,4,0,0,32.000000,33554432,54.667
2,2,4,2,0,32.000000,33554432,53.114
2,3,4,3,0,32.000000,33554432,52.314
2,1,4,1,0,32.000000,33554432,54.619
2,2,4,2,0,64.000000,67108864,54.707
2,1,4,1,0,64.000000,67108864,55.356
2,0,4,0,0,64.000000,67108864,55.353
2,3,4,3,0,64.000000,67108864,54.583
2,0,4,0,0,128.000000,134217728,55.365
2,2,4,2,0,128.000000,134217728,53.702
2,1,4,1,0,128.000000,134217728,55.362
2,3,4,3,0,128.000000,134217728,53.699
2,1,4,1,0,256.000000,268435456,55.438
2,0,4,0,0,256.000000,268435456,55.437
2,2,4,2,0,256.000000,268435456,54.608
2,3,4,3,0,256.000000,268435456,54.694
2,0,4,0,0,512.000000,536870912,55.391
2,1,4,1,0,512.000000,536870912,55.390
2,3,4,3,0,512.000000,536870912,54.496
2,2,4,2,0,512.000000,536870912,54.382
